iter	Passed	Remaining
0	53	26498
1	53	13329
2	53	8900
3	54	6696
4	54	5370
5	54	4484
6	54	3847
7	54	3372
8	55	3001
9	55	2702
10	55	2458
11	55	2255
12	55	2083
13	55	1934
14	55	1806
15	56	1695
16	56	1596
17	56	1509
18	56	1430
19	56	1359
20	56	1295
21	56	1236
22	57	1183
23	57	1135
24	57	1089
25	57	1048
26	57	1009
27	58	980
28	58	947
29	58	916
30	58	887
31	58	860
32	59	835
33	59	810
34	59	787
35	59	766
36	59	745
37	59	726
38	59	708
39	60	690
40	60	674
41	60	658
42	60	643
43	60	629
44	60	615
45	61	602
46	61	590
47	61	577
48	61	566
49	61	555
50	61	544
51	62	534
52	62	524
53	62	514
54	62	505
55	62	496
56	62	487
57	62	479
58	63	470
59	63	463
60	63	456
61	63	448
62	63	441
63	63	434
64	64	428
65	64	422
66	64	415
67	64	409
68	64	403
69	64	398
70	64	392
71	65	387
72	65	381
73	65	376
74	65	371
75	65	366
76	65	362
77	66	357
78	66	353
79	66	348
80	66	344
81	66	340
82	66	336
83	67	332
84	67	328
85	67	324
86	67	320
87	67	317
88	67	313
89	68	309
90	68	306
91	68	303
92	68	299
93	68	296
94	68	293
95	68	290
96	69	287
97	69	284
98	69	281
99	69	278
100	69	275
101	69	272
102	70	269
103	70	267
104	70	264
105	70	261
106	70	259
107	70	256
108	70	254
109	71	251
110	71	249
111	71	247
112	71	245
113	71	242
114	71	240
115	71	238
116	72	236
117	72	233
118	72	231
119	72	230
120	72	228
121	72	226
122	73	224
123	73	222
124	73	220
125	73	218
126	73	216
127	73	214
128	74	213
129	74	211
130	74	209
131	74	208
132	74	206
133	74	204
134	75	203
135	75	201
136	75	199
137	75	198
138	75	196
139	75	195
140	76	193
141	76	192
142	76	190
143	76	189
144	76	187
145	76	186
146	77	184
147	77	183
148	77	182
149	77	180
150	77	179
151	77	178
152	77	176
153	78	175
154	78	174
155	78	172
156	78	171
157	78	170
158	78	169
159	79	167
160	79	166
161	79	165
162	79	164
163	79	163
164	79	162
165	79	160
166	80	159
167	80	158
168	80	157
169	80	156
170	80	155
171	80	154
172	81	153
173	81	152
174	81	151
175	81	150
176	81	149
177	81	148
178	82	147
179	82	146
180	82	145
181	82	144
182	82	143
183	82	142
184	83	141
185	83	140
186	83	139
187	83	138
188	83	137
189	83	136
190	83	135
191	84	134
192	84	134
193	84	133
194	84	132
195	84	131
196	84	130
197	85	129
198	85	128
199	85	128
200	85	127
201	85	126
202	85	125
203	86	125
204	86	124
205	86	123
206	86	122
207	87	122
208	87	121
209	87	120
210	87	119
211	87	119
212	87	118
213	87	117
214	88	116
215	88	116
216	88	115
217	88	114
218	88	113
219	88	113
220	89	112
221	89	111
222	89	111
223	89	110
224	89	109
225	89	109
226	90	108
227	90	107
228	90	107
229	90	106
230	90	105
231	90	105
232	91	104
233	91	103
234	91	103
235	91	102
236	91	101
237	91	101
238	92	100
239	92	99
240	92	99
241	92	98
242	92	97
243	92	97
244	92	96
245	93	96
246	93	95
247	93	94
248	93	94
249	93	93
250	93	92
251	93	92
252	94	91
253	94	91
254	94	90
255	94	90
256	94	89
257	94	88
258	94	88
259	95	87
260	95	87
261	95	86
262	95	86
263	95	85
264	96	85
265	96	84
266	96	84
267	96	83
268	96	83
269	96	82
270	97	82
271	97	81
272	97	80
273	97	80
274	97	79
275	97	79
276	98	78
277	98	78
278	98	77
279	98	77
280	98	76
281	98	76
282	98	75
283	99	75
284	99	74
285	99	74
286	99	73
287	99	73
288	99	72
289	99	72
290	100	71
291	100	71
292	100	71
293	100	70
294	100	70
295	101	69
296	101	69
297	101	68
298	101	68
299	101	67
300	101	67
301	101	66
302	102	66
303	102	65
304	102	65
305	102	65
306	102	64
307	102	64
308	103	63
309	103	63
310	103	62
311	103	62
312	103	61
313	103	61
314	104	61
315	104	60
316	104	60
317	104	59
318	104	59
319	105	59
320	105	58
321	105	58
322	105	57
323	105	57
324	105	57
325	106	56
326	106	56
327	106	55
328	106	55
329	106	54
330	106	54
331	107	54
332	107	53
333	107	53
334	107	52
335	107	52
336	107	52
337	108	51
338	108	51
339	108	50
340	108	50
341	108	50
342	108	49
343	108	49
344	109	49
345	109	48
346	109	48
347	109	47
348	109	47
349	109	47
350	110	46
351	110	46
352	110	45
353	110	45
354	110	45
355	110	44
356	111	44
357	111	44
358	111	43
359	111	43
360	111	42
361	111	42
362	111	42
363	112	41
364	112	41
365	112	41
366	112	40
367	112	40
368	112	40
369	112	39
370	113	39
371	113	38
372	113	38
373	113	38
374	113	37
375	113	37
376	114	37
377	114	36
378	114	36
379	114	36
380	114	35
381	114	35
382	115	35
383	115	34
384	115	34
385	115	34
386	115	33
387	115	33
388	115	33
389	116	32
390	116	32
391	116	32
392	116	31
393	116	31
394	116	31
395	117	30
396	117	30
397	117	30
398	117	29
399	117	29
400	117	29
401	118	28
402	118	28
403	118	28
404	118	27
405	118	27
406	118	27
407	119	26
408	119	26
409	119	26
410	119	25
411	119	25
412	119	25
413	120	24
414	120	24
415	120	24
416	120	23
417	120	23
418	120	23
419	120	23
420	121	22
421	121	22
422	121	22
423	121	21
424	121	21
425	122	21
426	122	20
427	122	20
428	122	20
429	122	19
430	122	19
431	123	19
432	123	19
433	123	18
434	123	18
435	123	18
436	123	17
437	123	17
438	124	17
439	124	16
440	124	16
441	124	16
442	124	16
443	124	15
444	125	15
445	125	15
446	125	14
447	125	14
448	125	14
449	125	13
450	126	13
451	126	13
452	126	13
453	126	12
454	126	12
455	126	12
456	126	11
457	127	11
458	127	11
459	127	11
460	127	10
461	127	10
462	127	10
463	128	9
464	128	9
465	128	9
466	128	9
467	128	8
468	128	8
469	129	8
470	129	7
471	129	7
472	129	7
473	129	7
474	129	6
475	130	6
476	130	6
477	130	5
478	130	5
479	130	5
480	130	5
481	130	4
482	131	4
483	131	4
484	131	4
485	131	3
486	131	3
487	132	3
488	132	2
489	132	2
490	132	2
491	132	2
492	132	1
493	132	1
494	133	1
495	133	1
496	133	0
497	133	0
498	133	0
499	133	0
